track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7wrYBASu0OoxoDErd4Edxd,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,Zara Zara,58,298266,False,0.643,0.268,11,-15.073,0,0.09,0.593,2.06e-06,0.316,0.62,143.813,4,classical
7JGgKHHDgJCJkQCQxyHHdl,Bombay Jayashri;DJ Aftab,Hindi Slowed Reverb Bollywood Lofi,Zara Zara - Lofi,54,219437,False,0.608,0.638,11,-6.008,0,0.0292,0.581,0.0172,0.448,0.439,140.109,4,classical
3YRj4jmwois2ctPnhwSwFo,Bombay Jayashri,Minnalae,Vaseegara,68,299146,False,0.695,0.293,11,-16.278,0,0.0431,0.596,0.0158,0.132,0.637,143.804,4,classical
3tp3ij9dtY3CacQgd1OvRf,Bombay Jayashri;Swattrex,Hindi LoFi Vibe,Zara Zara - LoFi Chill,59,387716,False,0.583,0.308,7,-18.303,0,0.0465,0.581,0.0106,0.257,0.241,118.226,4,classical
6APAPsBCutqTFJ9OFTbeCa,Bombay Jayashri,Kaakha Kaakha (Original Motion Picture Soundtrack),Ondra Renda,59,306626,False,0.642,0.562,9,-9.304,0,0.0607,0.584,0.0,0.104,0.671,149.82,4,classical
3dWXi0xNXqtBEjjbxwVbua,Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,Classical Running,Primavera,0,442400,False,0.23,0.206,0,-13.594,0,0.0348,0.965,0.856,0.17,0.134,139.114,3,classical
1z0oJ3x3Fb2BWJKRF8HNhx,Wolfgang Amadeus Mozart;Květa Novotná,Refreshing Piano,"Piano Sonata No. 11 in A Major, K. 331: III. Alla turca",2,177000,False,0.496,0.186,9,-19.857,1,0.0418,0.992,0.944,0.11,0.585,79.334,4,classical
2nfL62mzeFMzhGZ1YHWGeU,Wolfgang Amadeus Mozart;Una Bourne,"Mozart, Liszt & Others: Piano Works","Piano Sonata in No. 11 A Major, K. 331: III. Rondo alla turca",1,151080,False,0.355,0.215,9,-18.632,1,0.0465,0.987,0.957,0.331,0.65,80.606,4,classical
7FRZcqaSZntnHEmmN9RoSY,Wolfgang Amadeus Mozart;Amalie Malling;Hans Pålsson,Refreshing Piano,"Sonata in D Major for Two Pianos, K. 448: II. Andante",0,526200,False,0.372,0.0273,2,-33.32,1,0.0409,0.993,0.924,0.081,0.157,115.872,4,classical
7h0UfUzNPve7ZKz2Bbwf1I,Wolfgang Amadeus Mozart;Albrecht Mayer;Vital Julian Frey;Deutsche Kammerphilharmonie Bremen,Relajación y siestas,"Ave verum corpus, K. 618 (Arr. Spindler for English Horn, Strings and Organ)",1,177960,False,0.175,0.0578,2,-20.568,1,0.0422,0.913,0.895,0.0906,0.0395,68.005,4,classical
4crcsWIqJfKIRuLVwsBbts,Wolfgang Amadeus Mozart;Florian Reider,Piano Snippets - National Anthems,National Anthem - Austria,0,32996,False,0.634,0.124,7,-19.991,1,0.113,0.989,0.944,0.121,0.769,81.842,3,classical
2wQriMWlY1LiuAAw64Td3y,Johann Sebastian Bach;David Bell;Berliner Philharmoniker;Herbert von Karajan,Relajación y siestas,"Suite No. 3 in D Major, BWV 1068: II. Air",2,363253,False,0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,4,classical
3uoVlnV2ocLYuKfTBJ2n8A,Wolfgang Amadeus Mozart;Una Bourne,"Mozart, Liszt & Others: Piano Works","Divertimento in D Major, K. 334: III. Menuetto - Trio (Arr. S. Palmgren for Piano Solo)",0,210386,False,0.278,0.123,2,-23.707,1,0.0422,0.993,0.739,0.355,0.511,78.59,3,classical
1SvJGlTN6dkeLVNG0L0N3L,Wolfgang Amadeus Mozart;Renée Fleming;Anne Sofie von Otter;Michele Pertusi;David Syrus;Chamber Orchestra of Europe;Sir Georg Solti,Silvia Colloca - Sing Like An Italian,"Così fan tutte, K. 588: Soave sia il vento - Live",0,173189,False,0.175,0.12,4,-22.495,1,0.0452,0.988,0.0456,0.177,0.0717,64.424,4,classical
6OG6Ua0DAqKQ4oHC5PQX0n,"Wolfgang Amadeus Mozart;Vladimir Horowitz;Orchestra Del Teatro Alla Scala, Milano;Carlo Maria Giulini",Classical Running,"Piano Concerto No. 23 in A, K.488: III. Allegro assai",0,472333,False,0.349,0.139,9,-19.982,1,0.0347,0.992,0.898,0.113,0.342,134.946,4,classical
1HHtdxeTBu9s79KaUZn5dQ,Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan,Classical Christmas,Ave Maria,0,182933,False,0.177,0.0601,0,-21.942,1,0.0405,0.987,0.894,0.0687,0.0543,81.807,3,classical
